Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed,distance_km,duration_min,pace_min_per_km,start_dt,hour,weekday,playlist_id,intensity,mood,lyrics,music_condition,temp,humidity,windspeed,precip,conditions
1,2023-12-09T09:09:19Z,Run,10879.7,4023,4617,91.4,"[40.70327935740352, -73.99619171395898]","[40.69340907968581, -73.97922154515982]",Run,2023-12-09T14:09:19Z,(GMT-05:00) America/New_York,4,4,0,3,0,2.704,6.228,10.8797,67.05,6.162853755158689,2023-12-09 09:09:19+00:00,9,5,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,8.0,84.71,7.3,0.0,Overcast
2,2023-12-07T17:31:50Z,Run,1304.4,722,62993,0.0,"[40.7220459356904, -74.03641730546951]","[40.719722136855125, -74.03257705271244]",Run,2023-12-07T22:31:50Z,(GMT-05:00) America/New_York,0,0,0,1,0,1.807,4.044,1.3044,12.033333333333331,9.225186548093632,2023-12-07 17:31:50+00:00,17,3,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,3.8,68.71,14.2,0.0,Overcast
3,2023-12-03T09:18:13Z,Run,17503.0,7370,7462,68.4,"[40.74991073459387, -73.98751585744321]","[40.73538766242564, -73.9793517999351]",Run,2023-12-03T14:18:13Z,(GMT-05:00) America/New_York,2,5,0,4,0,2.375,6.778,17.503,122.83333333333331,7.017844559980194,2023-12-03 09:18:13+00:00,9,6,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,11.5,83.85,9.0,0.759,"Rain, Overcast"
4,2023-12-02T09:41:14Z,Run,3457.8,1791,2170,3.9,"[40.72203076444566, -74.03641068376601]","[40.71398631669581, -74.03902692720294]",Run,2023-12-02T14:41:14Z,(GMT-05:00) America/New_York,0,2,0,3,0,1.931,4.522,3.4578,29.85,8.632656602463994,2023-12-02 09:41:14+00:00,9,5,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,9.5,87.37,9.3,0.0,Overcast
5,2023-12-01T17:06:05Z,Run,10108.2,4128,4221,6.3,"[40.72190687991679, -74.03624514117837]","[40.71669920347631, -74.03264125809073]",Run,2023-12-01T22:06:05Z,(GMT-05:00) America/New_York,4,5,0,1,0,2.449,5.462,10.1082,68.8,6.806355236342771,2023-12-01 17:06:05+00:00,17,4,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,7.8,78.2,6.4,0.472,"Rain, Overcast"
6,2023-11-29T17:22:51Z,Run,6694.7,2913,2983,9.8,"[40.72185751050711, -74.03604313731194]","[40.719508565962315, -74.03692323714495]",Run,2023-11-29T22:22:51Z,(GMT-05:00) America/New_York,1,2,1,1,0,2.298,4.972,6.6947,48.55,7.252005317639326,2023-11-29 17:22:51+00:00,17,2,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,1.4,37.06,6.7,0.0,Partially cloudy
7,2023-11-26T09:16:39Z,Run,6518.5,2545,2735,5.0,"[40.74989422224462, -73.98728493601084]","[40.71740294806659, -74.01325140148401]",Run,2023-11-26T14:16:39Z,(GMT-05:00) America/New_York,0,2,0,4,0,2.561,4.738,6.5185,42.416666666666664,6.507120758865791,2023-11-26 09:16:39+00:00,9,6,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,4.3,65.22,9.1,0.0,Overcast
8,2023-11-09T17:46:38Z,Run,10137.9,4027,4037,0.0,"[40.72207803837955, -74.03637405484915]","[40.7126241736114, -74.04014498926699]",Run,2023-11-09T22:46:38Z,(GMT-05:00) America/New_York,10,2,0,1,0,2.517,8.032,10.1379,67.11666666666666,6.620371740367005,2023-11-09 17:46:38+00:00,17,3,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,12.7,67.15,1.8,0.0,Partially cloudy
9,2023-11-07T17:31:51Z,Run,5065.6,1974,2012,5.0,"[40.7218580134213, -74.03597440570593]","[40.717102037742734, -74.03721358627081]",Run,2023-11-07T22:31:51Z,(GMT-05:00) America/New_York,2,3,0,1,0,2.566,5.092,5.065600000000001,32.9,6.494788376500314,2023-11-07 17:31:51+00:00,17,1,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,16.9,61.5,6.4,0.0,Clear
10,2023-11-04T16:20:18Z,Run,32192.3,14536,15709,5.2,"[40.721997655928135, -74.0361484978348]","[40.721965469419956, -74.03655661270022]",Run,2023-11-04T20:20:18Z,(GMT-05:00) America/New_York,17,2,0,2,0,2.215,10.26,32.192299999999996,242.26666666666668,7.525609125991828,2023-11-04 16:20:18+00:00,16,5,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,16.0,39.94,7.0,0.0,Partially cloudy
